70	28	MoveCommand { Actor = chr_01M38R7216X4HHDN91G4JV2AC2, Intent = MoveIntent { DirXPermille = 447, DirZPermille = -894, Gait = Run, FacingMdeg = 153442, IsMoving = True } }
71	29	MoveCommand { Actor = chr_01M38R7216X4HHDN91G4JV2AC2, Intent = MoveIntent { DirXPermille = 447, DirZPermille = -895, Gait = Run, FacingMdeg = 153450, IsMoving = True } }
72	30	MoveCommand { Actor = chr_01M38R7216X4HHDN91G4JV2AC2, Intent = MoveIntent { DirXPermille = 447, DirZPermille = -894, Gait = Run, FacingMdeg = 153443, IsMoving = True } }
73	31	MoveCommand { Actor = chr_01M38R7216X4HHDN91G4JV2AC2, Intent = MoveIntent { DirXPermille = 447, DirZPermille = -895, Gait = Run, FacingMdeg = 153451, IsMoving = True } }
74	32	MoveCommand { Actor = chr_01M38R7216X4HHDN91G4JV2AC2, Intent = MoveIntent { DirXPermille = 447, DirZPermille = -894, Gait = Run, FacingMdeg = 153443, IsMoving = True } }
75	33	MoveCommand { Actor = chr_01M38R7216X4HHDN91G4JV2AC2, Intent = MoveIntent { DirXPermille = 447, DirZPermille = -895, Gait = Run, FacingMdeg = 153453, IsMoving = True } }
77	34	MoveCommand { Actor = chr_01M38R7216X4HHDN91G4JV2AC2, Intent = MoveIntent { DirXPermille = 447, DirZPermille = -894, Gait = Run, FacingMdeg = 153435, IsMoving = True } }
78	35	MoveCommand { Actor = chr_01M38R7216X4HHDN91G4JV2AC2, Intent = MoveIntent { DirXPermille = 447, DirZPermille = -895, Gait = Run, FacingMdeg = 153446, IsMoving = True } }
79	36	MoveCommand { Actor = chr_01M38R7216X4HHDN91G4JV2AC2, Intent = MoveIntent { DirXPermille = 447, DirZPermille = -894, Gait = Run, FacingMdeg = 153435, IsMoving = True } }
80	37	MoveCommand { Actor = chr_01M38R7216X4HHDN91G4JV2AC2, Intent = MoveIntent { DirXPermille = 447, DirZPermille = -895, Gait = Run, FacingMdeg = 153447, IsMoving = True } }
81	38	MoveCommand { Actor = chr_01M38R7216X4HHDN91G4JV2AC2, Intent = MoveIntent { DirXPermille = 447, DirZPermille = -894, Gait = Run, FacingMdeg = 153435, IsMoving = True } }
82	39	MoveCommand { Actor = chr_01M38R7216X4HHDN91G4JV2AC2, Intent = MoveIntent { DirXPermille = 447, DirZPermille = -895, Gait = Run, FacingMdeg = 153450, IsMoving = True } }
83	40	MoveCommand { Actor = chr_01M38R7216X4HHDN91G4JV2AC2, Intent = MoveIntent { DirXPermille = 447, DirZPermille = -894, Gait = Run, FacingMdeg = 153435, IsMoving = True } }
84	41	MoveCommand { Actor = chr_01M38R7216X4HHDN91G4JV2AC2, Intent = MoveIntent { DirXPermille = 447, DirZPermille = -895, Gait = Run, FacingMdeg = 153453, IsMoving = True } }
85	42	MoveCommand { Actor = chr_01M38R7216X4HHDN91G4JV2AC2, Intent = MoveIntent { DirXPermille = 447, DirZPermille = -894, Gait = Run, FacingMdeg = 153435, IsMoving = True } }
86	43	MoveCommand { Actor = chr_01M38R7216X4HHDN91G4JV2AC2, Intent = MoveIntent { DirXPermille = 447, DirZPermille = -895, Gait = Run, FacingMdeg = 153458, IsMoving = True } }
