7357	27	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 943, DirZPermille = 334, Gait = Run, FacingMdeg = 70517, IsMoving = True } }
7371	28	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 942, DirZPermille = 334, Gait = Run, FacingMdeg = 70475, IsMoving = True } }
7375	29	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 941, DirZPermille = 337, Gait = Run, FacingMdeg = 70280, IsMoving = True } }
7376	30	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 939, DirZPermille = 344, Gait = Run, FacingMdeg = 69852, IsMoving = True } }
7377	31	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 936, DirZPermille = 352, Gait = Run, FacingMdeg = 69409, IsMoving = True } }
7378	32	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 933, DirZPermille = 359, Gait = Run, FacingMdeg = 68947, IsMoving = True } }
7379	33	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 930, DirZPermille = 367, Gait = Run, FacingMdeg = 68468, IsMoving = True } }
7380	34	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 927, DirZPermille = 375, Gait = Run, FacingMdeg = 67968, IsMoving = True } }
7381	35	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 924, DirZPermille = 384, Gait = Run, FacingMdeg = 67448, IsMoving = True } }
7382	36	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 920, DirZPermille = 392, Gait = Run, FacingMdeg = 66906, IsMoving = True } }
7383	37	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 916, DirZPermille = 401, Gait = Run, FacingMdeg = 66341, IsMoving = True } }
7384	38	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 912, DirZPermille = 411, Gait = Run, FacingMdeg = 65751, IsMoving = True } }
7385	39	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 907, DirZPermille = 420, Gait = Run, FacingMdeg = 65136, IsMoving = True } }
7386	40	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 903, DirZPermille = 431, Gait = Run, FacingMdeg = 64496, IsMoving = True } }
7387	41	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 897, DirZPermille = 441, Gait = Run, FacingMdeg = 63829, IsMoving = True } }
7388	42	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 892, DirZPermille = 452, Gait = Run, FacingMdeg = 63129, IsMoving = True } }
7389	43	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 886, DirZPermille = 463, Gait = Run, FacingMdeg = 62399, IsMoving = True } }
7390	44	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 880, DirZPermille = 475, Gait = Run, FacingMdeg = 61637, IsMoving = True } }
7391	45	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 873, DirZPermille = 487, Gait = Run, FacingMdeg = 60842, IsMoving = True } }
7392	46	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 866, DirZPermille = 500, Gait = Run, FacingMdeg = 60010, IsMoving = True } }
7393	47	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 858, DirZPermille = 513, Gait = Run, FacingMdeg = 59141, IsMoving = True } }
7394	48	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 850, DirZPermille = 526, Gait = Run, FacingMdeg = 58239, IsMoving = True } }
7395	49	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 841, DirZPermille = 540, Gait = Run, FacingMdeg = 57296, IsMoving = True } }
7396	50	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 832, DirZPermille = 555, Gait = Run, FacingMdeg = 56310, IsMoving = True } }
7397	51	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 822, DirZPermille = 569, Gait = Run, FacingMdeg = 55286, IsMoving = True } }
7398	52	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 811, DirZPermille = 585, Gait = Run, FacingMdeg = 54214, IsMoving = True } }
7399	53	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 800, DirZPermille = 600, Gait = Run, FacingMdeg = 53101, IsMoving = True } }
7400	54	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 787, DirZPermille = 616, Gait = Run, FacingMdeg = 51946, IsMoving = True } }
7401	55	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 776, DirZPermille = 631, Gait = Run, FacingMdeg = 50877, IsMoving = True } }
7412	56	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 776, DirZPermille = 630, Gait = Run, FacingMdeg = 50913, IsMoving = True } }
7416	57	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 777, DirZPermille = 630, Gait = Run, FacingMdeg = 50952, IsMoving = True } }
7418	58	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 777, DirZPermille = 629, Gait = Run, FacingMdeg = 50991, IsMoving = True } }
7420	59	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 778, DirZPermille = 628, Gait = Run, FacingMdeg = 51070, IsMoving = True } }
7422	60	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 24, DirZPermille = 1000, Gait = Run, FacingMdeg = 1354, IsMoving = True } }
7428	61	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 23, DirZPermille = 1000, Gait = Run, FacingMdeg = 1346, IsMoving = True } }
7451	62	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 22, DirZPermille = 1000, Gait = Run, FacingMdeg = 1289, IsMoving = True } }
7461	63	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 21, DirZPermille = 1000, Gait = Run, FacingMdeg = 1231, IsMoving = True } }
7462	64	MoveCommand { Actor = chr_01M38T7T6BJWKPVBVAKQ8SGW58, Intent = MoveIntent { DirXPermille = 22, DirZPermille = 1000, Gait = Run, FacingMdeg = 1238, IsMoving = True } }
